Date Of Death Year,Date Of Death Month,Sex,Race/Ethnicity,AgeGroup,AllCause,NaturalCause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,Start Date,End Date
2019,7,2,6,8,282,153.0,4.0,47.0,4.0,4.0,4.0,15.0,4.0,4.0,4.0,35.0,4.0,0.0,0.0,02/23/2021,07/01/2019,07/31/2019
2019,10,2,6,10,306,176.0,4.0,17.0,4.0,24.0,4.0,4.0,4.0,4.0,4.0,47.0,14.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2019,12,2,4,4,279,188.0,4.0,21.0,10.0,0.0,4.0,4.0,4.0,4.0,4.0,32.0,4.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2020,10,1,3,5,152,83.0,4.0,14.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0,19.0,4.0,4.0,4.0,02/23/2021,10/01/2020,10/31/2020
2020,3,1,6,1,67,51.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,03/01/2020,03/31/2020
2019,6,2,3,2,16,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,02/23/2021,06/01/2019,06/30/2019
2020,2,1,1,10,2960,1683.0,20.0,232.0,53.0,132.0,55.0,75.0,36.0,47.0,15.0,485.0,127.0,0.0,0.0,02/23/2021,02/01/2020,02/29/2020
2019,12,2,1,10,4750,2708.0,42.0,245.0,96.0,355.0,52.0,105.0,52.0,56.0,31.0,725.0,283.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2019,11,1,3,9,1406,780.0,10.0,204.0,28.0,22.0,27.0,32.0,22.0,26.0,4.0,182.0,69.0,0.0,0.0,02/23/2021,11/01/2019,11/30/2019
2020,11,2,6,10,371,201.0,4.0,18.0,4.0,19.0,4.0,4.0,4.0,4.0,4.0,40.0,22.0,22.0,21.0,02/23/2021,11/01/2020,11/30/2020
2020,5,2,2,10,277,136.0,0.0,16.0,4.0,12.0,4.0,4.0,4.0,0.0,4.0,23.0,4.0,33.0,33.0,02/23/2021,05/01/2020,05/31/2020
2020,10,1,6,2,12,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,02/23/2021,10/01/2020,10/31/2020
2020,3,1,2,5,74,48.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,02/23/2021,03/01/2020,03/31/2020
2020,10,1,5,1,466,361.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,77.0,4.0,4.0,4.0,0.0,02/23/2021,10/01/2020,10/31/2020
2020,6,1,5,7,22115,12226.0,167.0,3492.0,484.0,26.0,120.0,581.0,147.0,154.0,135.0,3457.0,387.0,405.0,334.0,02/23/2021,06/01/2020,06/30/2020
2019,3,1,1,9,3259,1803.0,31.0,456.0,107.0,68.0,44.0,90.0,45.0,48.0,14.0,454.0,99.0,0.0,0.0,02/23/2021,03/01/2019,03/31/2019
2019,8,1,3,6,280,151.0,4.0,52.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,45.0,4.0,0.0,0.0,02/23/2021,08/01/2019,08/31/2019
2020,1,2,4,4,324,200.0,4.0,36.0,4.0,0.0,4.0,4.0,4.0,4.0,14.0,40.0,10.0,0.0,0.0,02/23/2021,01/01/2020,01/31/2020
2019,3,1,6,1,72,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,02/23/2021,03/01/2019,03/31/2019
2019,4,2,1,7,1538,877.0,12.0,330.0,62.0,4.0,19.0,26.0,18.0,19.0,4.0,138.0,29.0,0.0,0.0,02/23/2021,04/01/2019,04/30/2019
2020,1,1,2,4,56,32.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,02/23/2021,01/01/2020,01/31/2020
2019,4,1,6,5,72,35.0,0.0,10.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,11.0,0.0,0.0,0.0,02/23/2021,04/01/2019,04/30/2019
2019,12,2,4,1,322,241.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,45.0,4.0,4.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
2020,7,2,3,5,112,53.0,0.0,23.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,02/23/2021,07/01/2020,07/31/2020
2021,1,1,4,4,731,371.0,4.0,17.0,4.0,0.0,4.0,4.0,0.0,4.0,209.0,31.0,4.0,41.0,38.0,02/23/2021,01/01/2021,01/31/2021
2019,10,2,3,9,1229,691.0,11.0,193.0,31.0,30.0,14.0,17.0,11.0,23.0,4.0,148.0,56.0,0.0,0.0,02/23/2021,10/01/2019,10/31/2019
2020,4,2,4,5,1241,629.0,14.0,91.0,34.0,0.0,12.0,13.0,4.0,4.0,19.0,134.0,19.0,138.0,130.0,02/23/2021,04/01/2020,04/30/2020
2020,12,2,6,5,72,36.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,02/23/2021,12/01/2020,12/31/2020
2019,5,1,6,6,170,95.0,4.0,17.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,30.0,4.0,0.0,0.0,02/23/2021,05/01/2019,05/31/2019
2019,1,1,1,7,2785,1600.0,28.0,401.0,117.0,4.0,51.0,29.0,23.0,49.0,19.0,396.0,68.0,0.0,0.0,02/23/2021,01/01/2019,01/31/2019
2019,4,1,5,5,1949,1193.0,23.0,209.0,55.0,0.0,17.0,16.0,18.0,14.0,32.0,333.0,39.0,0.0,0.0,02/23/2021,04/01/2019,04/30/2019
2019,2,2,2,8,222,130.0,4.0,33.0,4.0,0.0,4.0,14.0,0.0,4.0,0.0,25.0,4.0,0.0,0.0,02/23/2021,02/01/2019,02/28/2019
2020,2,2,5,7,14512,8093.0,165.0,2898.0,276.0,59.0,246.0,760.0,126.0,121.0,78.0,1410.0,272.0,4.0,4.0,02/23/2021,02/01/2020,02/29/2020
2020,12,2,5,6,6881,3540.0,72.0,942.0,97.0,4.0,40.0,105.0,39.0,34.0,327.0,497.0,105.0,562.0,517.0,02/23/2021,12/01/2020,12/31/2020
2020,10,1,5,8,42398,22176.0,322.0,6347.0,870.0,222.0,280.0,1359.0,367.0,321.0,238.0,5171.0,791.0,2048.0,1886.0,02/23/2021,10/01/2020,10/31/2020
2020,7,2,2,9,341,170.0,4.0,36.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,24.0,10.0,38.0,35.0,02/23/2021,07/01/2020,07/31/2020
2019,12,1,2,1,19,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,02/23/2021,12/01/2019,12/31/2019
